time_period,area_name,median_monthly_pay
2020-09-01,Yorkshire and The Humber,1778
2020-10-01,Yorkshire and The Humber,1787
2020-11-01,Yorkshire and The Humber,1784
2020-12-01,Yorkshire and The Humber,1794
2021-01-01,Yorkshire and The Humber,1802
2021-02-01,Yorkshire and The Humber,1806
2021-03-01,Yorkshire and The Humber,1816
2021-04-01,Yorkshire and The Humber,1822
2021-05-01,Yorkshire and The Humber,1821
2021-06-01,Yorkshire and The Humber,1830
2021-07-01,Yorkshire and The Humber,1840
2021-08-01,Yorkshire and The Humber,1845
2021-09-01,Yorkshire and The Humber,1866
2021-10-01,Yorkshire and The Humber,1869
2021-11-01,Yorkshire and The Humber,1869
2021-12-01,Yorkshire and The Humber,1887
2022-01-01,Yorkshire and The Humber,1898
2022-02-01,Yorkshire and The Humber,1911
2022-03-01,Yorkshire and The Humber,1925
2022-04-01,Yorkshire and The Humber,1924
2022-05-01,Yorkshire and The Humber,1934
2022-06-01,Yorkshire and The Humber,1946
2022-07-01,Yorkshire and The Humber,1958
2022-08-01,Yorkshire and The Humber,1977
2022-09-01,Yorkshire and The Humber,2015
2022-10-01,Yorkshire and The Humber,2008
2022-11-01,Yorkshire and The Humber,2036
2022-12-01,Yorkshire and The Humber,2038
2023-01-01,Yorkshire and The Humber,2043
2023-02-01,Yorkshire and The Humber,2051
2023-03-01,Yorkshire and The Humber,2056
2023-04-01,Yorkshire and The Humber,2074
2023-05-01,Yorkshire and The Humber,2098
2023-06-01,Yorkshire and The Humber,2154
2023-07-01,Yorkshire and The Humber,2116
2023-08-01,Yorkshire and The Humber,2116
2023-09-01,Yorkshire and The Humber,2118
2023-10-01,Yorkshire and The Humber,2129
2023-11-01,Yorkshire and The Humber,2164
2023-12-01,Yorkshire and The Humber,2170
2024-01-01,Yorkshire and The Humber,2174
2024-02-01,Yorkshire and The Humber,2187
2024-03-01,Yorkshire and The Humber,2200
2024-04-01,Yorkshire and The Humber,2213
2024-05-01,Yorkshire and The Humber,2227
2024-06-01,Yorkshire and The Humber,2229
2024-07-01,Yorkshire and The Humber,2243
2024-08-01,Yorkshire and The Humber,2252
2024-09-01,Yorkshire and The Humber,2255
2024-10-01,Yorkshire and The Humber,2309
2024-11-01,Yorkshire and The Humber,2301
2024-12-01,Yorkshire and The Humber,2297
2025-01-01,Yorkshire and The Humber,2309
2025-02-01,Yorkshire and The Humber,2315
2025-03-01,Yorkshire and The Humber,2326
2025-04-01,Yorkshire and The Humber,2346
2025-05-01,Yorkshire and The Humber,2356
2025-06-01,Yorkshire and The Humber,2362
2025-07-01,Yorkshire and The Humber,2382
2025-08-01,Yorkshire and The Humber,2411
2025-09-01,Yorkshire and The Humber,2395
2025-10-01,Yorkshire and The Humber,2399
2025-11-01,Yorkshire and The Humber,2375
2025-12-01,Yorkshire and The Humber,2407
2026-01-01,Yorkshire and The Humber,2428
2026-02-01,Yorkshire and The Humber,2443
2026-03-01,Yorkshire and The Humber,2454
2026-04-01,Yorkshire and The Humber,2467
2026-05-01,Yorkshire and The Humber,2467
2014-07-01,East Midlands,1510
2014-08-01,East Midlands,1511
2014-09-01,East Midlands,1513
2014-10-01,East Midlands,1515
2014-11-01,East Midlands,1521
2014-12-01,East Midlands,1525
2015-01-01,East Midlands,1526
2015-02-01,East Midlands,1533
2015-03-01,East Midlands,1526
2015-04-01,East Midlands,1521
2015-05-01,East Midlands,1521
2015-06-01,East Midlands,1522
2015-07-01,East Midlands,1523
2015-08-01,East Midlands,1527
2015-09-01,East Midlands,1527
2015-10-01,East Midlands,1529
2015-11-01,East Midlands,1535
2015-12-01,East Midlands,1534
2016-01-01,East Midlands,1544
2016-02-01,East Midlands,1548
2016-03-01,East Midlands,1550
2016-04-01,East Midlands,1556
2016-05-01,East Midlands,1557
2016-06-01,East Midlands,1560
2016-07-01,East Midlands,1564
2016-08-01,East Midlands,1563
2016-09-01,East Midlands,1566
2016-10-01,East Midlands,1571
2016-11-01,East Midlands,1568
2016-12-01,East Midlands,1572
2017-01-01,East Midlands,1571
2017-02-01,East Midlands,1579
2017-03-01,East Midlands,1587
2017-04-01,East Midlands,1597
2017-05-01,East Midlands,1598
2017-06-01,East Midlands,1601
2017-07-01,East Midlands,1604
2017-08-01,East Midlands,1607
2017-09-01,East Midlands,1613
2017-10-01,East Midlands,1617
2017-11-01,East Midlands,1622
2017-12-01,East Midlands,1625
2018-01-01,East Midlands,1629
2018-02-01,East Midlands,1633
2018-03-01,East Midlands,1637
2018-04-01,East Midlands,1642
2018-05-01,East Midlands,1653
2018-06-01,East Midlands,1660
2018-07-01,East Midlands,1669
2018-08-01,East Midlands,1676
2018-09-01,East Midlands,1672
2018-10-01,East Midlands,1676
2018-11-01,East Midlands,1681
2018-12-01,East Midlands,1676
2019-01-01,East Midlands,1688
2019-02-01,East Midlands,1695
2019-03-01,East Midlands,1701
2019-04-01,East Midlands,1709
2019-05-01,East Midlands,1710
2019-06-01,East Midlands,1715
2019-07-01,East Midlands,1717
2019-08-01,East Midlands,1719
