time_period,area_code,area_name,region_or_country_name,index,monthly_change,annual_change,rental_price,median_monthly_pay,rent_to_pay_percent,cpih_index,real_rent,real_pay
2024-10-01,E12000007,London,,118.661067,1.156363,10.218742,2172.0,2905,74.76764199655766,134.3,2298.1474311243483,3073.719285182427
2024-11-01,E12000007,London,,120.700047,1.718323,11.494046,2209.0,2901,76.14615649775939,134.6,2332.0869242199105,3062.645616641902
2024-12-01,E12000007,London,,121.361117,0.547696,11.426941,2221.0,2897,76.66551605108734,135.1,2336.0777202072536,3047.1036269430056
2025-01-01,E12000007,London,,121.769738,0.336698,10.96637,2229.0,2919,76.3617677286742,135.1,2344.4922279792745,3070.2435233160622
2025-02-01,E12000007,London,,122.128676,0.294768,9.891406,2235.0,2927,76.35804578066279,135.6,2342.1349557522126,3067.3060471976405
2025-03-01,E12000007,London,,122.519426,0.31995,9.064665,2243.0,2929,76.57903721406623,136.1,2341.8831741366644,3058.125642909625
2025-04-01,E12000007,London,,122.683407,0.13384,8.42537,2246.0,2945,76.26485568760611,137.7,2317.767610748003,3039.103122730574
2025-05-01,E12000007,London,,122.842532,0.129704,7.711469,2249.0,2955,76.1082910321489,138.0,2315.8181159420287,3042.7934782608695
2025-06-01,E12000007,London,,123.043056,0.163236,7.257165,2252.0,2965,75.95278246205733,138.4,2312.2052023121387,3044.26661849711
2025-07-01,E12000007,London,,122.907684,-0.11002,6.299377,2250.0,2981,75.47802750754781,138.5,2308.483754512635,3058.484476534296
2025-08-01,E12000007,London,,123.062436,0.12591,5.740643,2253.0,3018,74.6520874751491,138.9,2304.9049676025916,3087.5291576673862
2025-09-01,E12000007,London,,123.483547,0.342192,5.267437,2260.0,3003,75.25807525807527,138.9,2312.066234701224,3072.1835853131747
2025-10-01,E12000007,London,,123.724991,0.195528,4.267553,2265.0,2995,75.62604340567613,139.5,2307.2150537634407,3050.820788530466
2025-11-01,E12000007,London,,124.085326,0.291239,2.804704,2271.0,2978,76.25923438549363,139.4,2314.986370157819,3035.680057388809
2025-12-01,E12000007,London,,123.891635,-0.156095,2.085114,2268.0,2998,75.65043362241495,139.9,2303.6654753395283,3045.145103645461
2026-01-01,E12000007,London,,123.066789,-0.665781,1.065167,2253.0,3025,74.47933884297521,139.4,2296.637733142037,3083.590387374462
2026-02-01,E12000007,London,,124.198623,0.919691,1.69489,2273.0,3040,74.76973684210526,140.0,2307.095,3085.6
2026-03-01,E12000007,London,,124.558916,0.290094,1.664625,2280.0,3050,74.75409836065575,140.8,2301.051136363636,3078.160511363636
2026-04-01,E12000007,London,,125.131683,0.459836,1.995605,2290.0,3076,74.44733420026007,141.8,2294.84485190409,3082.507757404795
2026-05-01,E12000007,London,,125.346781,0.171897,2.038585,2294.0,3082,74.43218689162882,142.1,2294.0,3082.0
2015-01-01,E12000008,South East,,79.734304,,,932.0,1731,53.841709994222995,99.2,1335.0524193548385,2479.587701612903
2015-02-01,E12000008,South East,,79.751843,0.021996,,932.0,1738,53.62485615650172,99.5,1331.0271356783917,2482.1085427135677
2015-03-01,E12000008,South East,,79.942283,0.238791,,935.0,1739,53.76653248993675,99.6,1333.9708835341366,2481.043172690763
2015-04-01,E12000008,South East,,80.197547,0.31931,,938.0,1734,54.094579008073815,99.9,1334.232232232232,2466.4804804804803
2015-05-01,E12000008,South East,,80.314354,0.14565,,939.0,1732,54.2147806004619,100.1,1332.986013986014,2458.713286713287
2015-06-01,E12000008,South East,,80.53317,0.272449,,942.0,1736,54.26267281105991,100.1,1337.2447552447552,2464.3916083916083
2015-07-01,E12000008,South East,,80.760546,0.282338,,944.0,1738,54.31530494821634,100.0,1341.424,2469.698
2015-08-01,E12000008,South East,,81.020376,0.321729,,947.0,1739,54.45658424381829,100.3,1341.6620139581255,2463.727816550349
2015-09-01,E12000008,South East,,81.347427,0.403666,,951.0,1741,54.623779437105114,100.2,1348.6736526946108,2469.0229540918162
2015-10-01,E12000008,South East,,81.510611,0.2006,,953.0,1747,54.55065827132227,100.3,1350.162512462612,2475.061814556331
2015-11-01,E12000008,South East,,81.953967,0.543925,,958.0,1755,54.58689458689459,100.3,1357.2462612163508,2486.395812562313
2015-12-01,E12000008,South East,,82.190501,0.288618,,961.0,1750,54.91428571428572,100.4,1360.1404382470118,2476.8426294820715
2016-01-01,E12000008,South East,,82.460067,0.327977,3.418557,964.0,1764,54.6485260770975,99.9,1371.215215215215,2509.1531531531527
2016-02-01,E12000008,South East,,82.786493,0.395859,3.805116,968.0,1765,54.844192634560905,100.1,1374.1538461538462,2505.5594405594406
2016-03-01,E12000008,South East,,83.055221,0.324604,3.893982,971.0,1770,54.85875706214689,100.4,1374.2938247011953,2505.149402390438
2016-04-01,E12000008,South East,,83.522252,0.562314,4.145645,977.0,1775,55.04225352112676,100.6,1380.0367793240555,2507.231610337972
2016-05-01,E12000008,South East,,83.777125,0.305155,4.311521,979.0,1776,55.12387387387387,100.8,1380.1180555555554,2503.6666666666665
2016-06-01,E12000008,South East,,84.115724,0.404167,4.448545,983.0,1778,55.28683914510686,101.0,1383.0128712871285,2501.5227722772274
2016-07-01,E12000008,South East,,84.480061,0.433137,4.605609,988.0,1783,55.412226584408295,100.9,1391.4251734390484,2511.04360753221
2016-08-01,E12000008,South East,,84.868139,0.459373,4.74913,992.0,1785,55.57422969187675,101.2,1392.9169960474305,2506.4081027667985
2016-09-01,E12000008,South East,,85.24683,0.446211,4.793516,997.0,1787,55.79182988248461,101.5,1395.7999999999997,2501.7999999999997
2016-10-01,E12000008,South East,,85.573099,0.382735,4.984,1000.0,1789,55.89714924538849,101.6,1398.6220472440946,2502.134842519685
2016-11-01,E12000008,South East,,85.907126,0.390341,4.823634,1004.0,1789,56.12073784237004,101.8,1401.4577603143418,2497.21905697446
2016-12-01,E12000008,South East,,86.124356,0.252866,4.786265,1007.0,1794,56.13154960981048,102.2,1400.143835616438,2494.3972602739723
2017-01-01,E12000008,South East,,86.28446,0.185898,4.637872,1009.0,1792,56.30580357142857,101.8,1408.4371316306483,2501.4066797642436
2017-02-01,E12000008,South East,,86.499377,0.24908,4.484891,1011.0,1802,56.10432852386238,102.4,1402.9599609375,2500.6269531249995
2017-03-01,E12000008,South East,,86.692694,0.223489,4.379584,1014.0,1811,55.99116510215351,102.7,1403.012658227848,2505.7750730282373
2017-04-01,E12000008,South East,,86.955889,0.303596,4.111045,1017.0,1817,55.97138139790864,103.2,1400.345930232558,2501.896317829457
2017-05-01,E12000008,South East,,87.006934,0.058702,3.855241,1017.0,1820,55.87912087912088,103.5,1396.286956521739,2498.763285024155
2017-06-01,E12000008,South East,,87.074057,0.077146,3.516979,1018.0,1823,55.84201865057597,103.5,1397.6599033816424,2502.8821256038646
2017-07-01,E12000008,South East,,87.288989,0.246839,3.324961,1021.0,1824,55.97587719298246,103.5,1401.7787439613528,2504.255072463768
2017-08-01,E12000008,South East,,87.450321,0.184824,3.042581,1022.0,1829,55.87752870420996,104.0,1396.405769230769,2499.047115384615
2017-09-01,E12000008,South East,,87.587404,0.156756,2.745644,1024.0,1834,55.83424209378408,104.3,1395.1140939597315,2498.6711409395975
2017-10-01,E12000008,South East,,87.608161,0.023698,2.378156,1024.0,1843,55.5615843733044,104.4,1393.7777777777776,2508.5277777777774
2017-11-01,E12000008,South East,,87.667683,0.067941,2.049372,1025.0,1844,55.58568329718005,104.7,1391.1413562559694,2502.697230181471
2017-12-01,E12000008,South East,,87.773809,0.121056,1.915199,1026.0,1847,55.54953979426096,105.0,1388.52,2499.6066666666666
2018-01-01,E12000008,South East,,87.806584,0.03734,1.764077,1027.0,1853,55.4236373448462,104.5,1396.5234449760765,2519.7253588516746
2018-02-01,E12000008,South East,,87.938833,0.150615,1.664123,1028.0,1855,55.41778975741239,104.9,1392.5529075309817,2512.826501429933
2018-03-01,E12000008,South East,,88.064139,0.142492,1.581962,1030.0,1848,55.73593073593074,105.1,1392.6070409134159,2498.58039961941
2018-04-01,E12000008,South East,,88.081953,0.020229,1.294983,1030.0,1860,55.376344086021504,105.5,1387.3270142180095,2505.270142180095
2018-05-01,E12000008,South East,,88.147111,0.073974,1.310443,1031.0,1877,54.92807671816728,105.9,1383.4287063267234,2518.61850802644
2018-06-01,E12000008,South East,,88.217704,0.080085,1.313418,1031.0,1883,54.753053637812,105.9,1383.4287063267234,2526.6694995278563
2018-07-01,E12000008,South East,,88.425888,0.235989,1.302454,1034.0,1890,54.70899470899471,105.9,1387.4542020774313,2536.0623229461753
2018-08-01,E12000008,South East,,88.516532,0.102509,1.21922,1035.0,1904,54.35924369747899,106.5,1380.9718309859154,2540.454460093896
2018-09-01,E12000008,South East,,88.702381,0.20996,1.272988,1037.0,1896,54.69409282700421,106.6,1382.342401500938,2527.40712945591
2018-10-01,E12000008,South East,,88.812779,0.124458,1.375006,1038.0,1898,54.689146469968385,106.7,1382.3786316776007,2527.7019681349575
2018-11-01,E12000008,South East,,88.942906,0.146519,1.454611,1040.0,1904,54.62184873949579,106.9,1382.4508886810102,2530.948550046772
2018-12-01,E12000008,South East,,89.21102,0.301445,1.637403,1043.0,1905,54.750656167979,107.1,1383.8496732026144,2527.549019607843
2019-01-01,E12000008,South East,,89.286412,0.084509,1.685327,1044.0,1914,54.54545454545454,106.4,1394.2894736842104,2556.197368421052
2019-02-01,E12000008,South East,,89.415865,0.144987,1.679613,1045.0,1924,54.31392931392931,106.8,1390.3979400749065,2559.928838951311
2019-03-01,E12000008,South East,,89.429789,0.015572,1.550745,1046.0,1936,54.02892561983471,107.0,1389.1271028037384,2571.0803738317754
2019-04-01,E12000008,South East,,89.511254,0.091093,1.622694,1047.0,1943,53.88574369531652,107.6,1382.7016728624535,2565.9879182156133
2019-05-01,E12000008,South East,,89.682694,0.191529,1.742068,1049.0,1940,54.0721649484536,107.9,1381.4911955514365,2554.9026876737717
